,topic,mean,min,max,std
0,topic_topic1,36.56979166666667,1,108,18.998033045608057
1,topic_topic10,35.269891122278054,0,119,19.60308294133597
2,topic_topic11,35.324305555555554,1,118,17.383855611790736
3,topic_topic12,35.960648148148145,1,111,20.411374362785207
4,topic_topic13,50.759568545581075,16,126,20.13296266875392
5,topic_topic14,36.57706766917293,1,141,20.436701697567177
6,topic_topic15,32.485416666666666,1,111,18.704263517444172
7,topic_topic16,32.142517814726844,0,107,15.822574631875517
8,topic_topic17,25.79776847977685,1,103,16.378656936402717
9,topic_topic18,32.247793776126336,1,101,16.371518596260586
10,topic_topic19,35.31783270492948,0,133,21.349710570577432
11,topic_topic2,39.069583333333334,1,120,20.827597561123714
12,topic_topic20,35.547916666666666,1,92,20.526926046943167
13,topic_topic21,43.26064814814815,2,121,21.437547360161616
14,topic_topic22,63.254266805990945,18,143,19.74445086098777
15,topic_topic23,30.053467000835422,0,89,14.958490499965732
16,topic_topic24,36.150485436893206,2,98,18.179727547303987
17,topic_topic25,32.46290801186944,1,106,16.658263213915536
18,topic_topic26,77.7505230125523,27,143,19.562779804855968
19,topic_topic27,33.29331165815142,1,91,15.987353795675386
20,topic_topic28,32.085845896147404,0,115,16.589713605880817
21,topic_topic29,39.1625,1,84,18.891146538432626
22,topic_topic3,42.02013888888889,1,123,19.775712776661997
23,topic_topic30,32.86064814814815,1,95,18.258336781208246
24,topic_topic4,27.60751565762004,0,81,18.84961582081831
25,topic_topic5,33.37566137566137,1,115,17.67072893086909
26,topic_topic6,37.51664355062413,1,110,20.451852048308123
27,topic_topic7,35.02375296912114,1,128,19.493127337401287
28,topic_topic8,26.979864016736403,1,115,18.28037122571524
29,topic_topic9,35.75185873605948,0,140,20.396497617418195
