"app, topic, category, priority, msgreceived, responsetime"
"app_app6","topic_topic15","RT","0","6876","39.42"
"app_app6","topic_topic26","RT","0","6876","77.72594142259415"
"app_app6","topic_topic5","RT","0","6876","36.02807486631016"
"app_app6","topic_topic8","RT","0","6876","24.736401673640167"
"app_app6","topic_topic20","RT","0","6876","36.906666666666666"
"app_app5","topic_topic1","RT","0","8082","35.056666666666665"
"app_app5","topic_topic14","RT","0","8082","41.39171122994652"
"app_app5","topic_topic19","RT","0","8082","39.07607238605898"
"app_app5","topic_topic7","RT","0","8082","40.67600950118765"
"app_app5","topic_topic22","RT","0","8082","65.3157894736842"
"app_app4","topic_topic5","AN","0","8994","31.36898395721925"
"app_app4","topic_topic6","AN","0","8994","35.81354051054384"
"app_app4","topic_topic16","AN","0","8994","30.49501187648456"
"app_app4","topic_topic27","AN","0","8994","34.58119658119658"
"app_app4","topic_topic21","AN","0","8994","40.58444444444444"
"app_app3","topic_topic1","AN","0","8690","34.89333333333333"
"app_app3","topic_topic23","AN","0","8690","29.72994652406417"
"app_app3","topic_topic3","AN","0","8690","41.71111111111111"
"app_app3","topic_topic16","AN","0","8690","30.774346793349167"
"app_app3","topic_topic27","AN","0","8690","33.882571534745445"
"app_app3","topic_topic4","AN","0","8690","28.812186978297163"
"app_app9","topic_topic2","TS","0","5982","35.17"
"app_app9","topic_topic12","TS","0","5982","36.687777777777775"
"app_app9","topic_topic29","TS","0","5982","36.596666666666664"
"app_app9","topic_topic10","TS","0","5982","34.27470686767169"
"app_app9","topic_topic22","TS","0","5982","66.30910609857979"
"app_app8","topic_topic28","RT","0","9280","32.94103852596315"
"app_app8","topic_topic9","RT","0","9280","36.62788104089219"
"app_app8","topic_topic7","RT","0","9280","35.40665083135392"
"app_app8","topic_topic21","RT","0","9280","41.56666666666667"
"app_app8","topic_topic11","RT","0","9280","37.605"
"app_app7","topic_topic1","RT","0","8986","38.42333333333333"
"app_app7","topic_topic25","RT","0","8986","31.32716049382716"
"app_app7","topic_topic2","RT","0","8986","34.678333333333335"
"app_app7","topic_topic17","RT","0","8986","25.40418410041841"
"app_app7","topic_topic9","RT","0","8986","34.21895910780669"
"app_app7","topic_topic30","RT","0","8986","36.215555555555554"
"app_app11","topic_topic26","TS","0","8675","76.16150627615063"
"app_app11","topic_topic13","TS","0","8675","55.47996661101836"
"app_app11","topic_topic29","TS","0","8675","37.29"
"app_app11","topic_topic6","TS","0","8675","40.3235294117647"
"app_app11","topic_topic10","TS","0","8675","38.97688442211055"
"app_app10","topic_topic12","TS","0","7179","34.272222222222226"
"app_app10","topic_topic13","TS","0","7179","53.67111853088481"
"app_app10","topic_topic18","TS","0","7179","32.25343738387217"
"app_app10","topic_topic17","TS","0","7179","24.776987447698744"
"app_app15","topic_topic2","VS","0","4202","38.83"
"app_app15","topic_topic15","VS","0","4202","29.253333333333334"
"app_app15","topic_topic24","VS","0","4202","32.96115427302997"
"app_app15","topic_topic11","VS","0","4202","36.12166666666667"
"app_app15","topic_topic30","VS","0","4202","34.26555555555556"
"app_app14","topic_topic24","VS","0","8973","40.14317425083241"
"app_app14","topic_topic5","VS","0","8973","36.037433155080215"
"app_app14","topic_topic28","VS","0","8973","33.38391959798995"
"app_app14","topic_topic8","VS","0","8973","32.57071129707113"
"app_app14","topic_topic20","VS","0","8973","30.763333333333332"
"app_app13","topic_topic14","VS","0","7774","35.7927807486631"
"app_app13","topic_topic2","VS","0","7774","37.14333333333333"
"app_app13","topic_topic23","VS","0","7774","31.46323529411765"
"app_app13","topic_topic19","VS","0","7774","33.3294235924933"
"app_app13","topic_topic4","VS","0","7774","29.19949916527546"
"app_app12","topic_topic13","TS","0","6594","54.45575959933222"
"app_app12","topic_topic18","TS","0","6594","34.19137866963954"
"app_app12","topic_topic7","TS","0","6594","32.789548693586696"
"app_app12","topic_topic11","TS","0","6594","32.92"
"app_app16","topic_topic14","VS","0","8997","36.286764705882355"
"app_app16","topic_topic25","VS","0","8997","35.68471035137702"
"app_app16","topic_topic16","VS","0","8997","37.74204275534442"
"app_app16","topic_topic17","VS","0","8997","30.594979079497907"
"app_app16","topic_topic30","VS","0","8997","35.123333333333335"
"app_app2","topic_topic12","AN","0","8671","40.63777777777778"
"app_app2","topic_topic19","AN","0","8671","39.11427613941019"
"app_app2","topic_topic3","AN","0","8671","46.40888888888889"
"app_app2","topic_topic9","AN","0","8671","40.90111524163569"
"app_app2","topic_topic22","AN","0","8671","69.15538847117794"
"app_app1","topic_topic1","AN","0","5686","41.79333333333334"
"app_app1","topic_topic14","AN","0","5686","40.712566844919785"
"app_app1","topic_topic2","AN","0","5686","43.92"
"app_app1","topic_topic26","AN","0","5686","82.73138075313807"
"app_app1","topic_topic21","AN","0","5686","50.62555555555556"
