category,total_dropping,total_messages_sent,total_messages_received,percentage
AN,1588,32100,30512,4.947040498442368
RT,24,33300,33276,0.07207207207207207
ST,557,30000,29443,1.8566666666666665
TS,31,28500,28469,0.1087719298245614
