bandwidth,average response time
bandwidth_8,2014.3720313205065
bandwidth_9,37.38933804876922
bandwidth_10,23.960497877400076
bandwidth_11,23.44956442696133
bandwidth_12,16.693110616803988
bandwidth_13,15.662003071848074
