,topic,mean,min,max,std
0,topic_topic1,26.339583333333334,1,110,21.47494832257049
1,topic_topic10,19.769472361809044,0,93,16.890390025040254
2,topic_topic11,21.169444444444444,1,88,14.657655907035704
3,topic_topic12,22.033333333333335,0,97,19.11096772904313
4,topic_topic13,43.72651356993737,3,113,15.69708737058994
5,topic_topic14,22.840358931552586,0,111,18.52861897890458
6,topic_topic15,24.0375,1,105,19.90778978052863
7,topic_topic16,19.043942992874108,0,87,14.074780094097553
8,topic_topic17,14.068340306834031,0,114,13.625500546541586
9,topic_topic18,17.193915466790525,0,90,14.990039903322124
10,topic_topic19,20.598408710217754,0,109,18.5978838001934
11,topic_topic2,23.355833333333333,1,112,17.42839956609096
12,topic_topic20,24.310416666666665,1,117,18.273310557762418
13,topic_topic21,26.807407407407407,1,110,18.532920541781948
14,topic_topic22,52.59742519137091,28,125,14.122816923868076
15,topic_topic23,20.070116861435725,0,111,14.384667962353962
16,topic_topic24,19.821775312066574,1,91,14.752441992723284
17,topic_topic25,18.844213649851632,0,105,14.197993706131951
18,topic_topic26,50.08734309623431,21,116,17.56031450044753
19,topic_topic27,17.596377148165352,0,81,14.593289975445437
20,topic_topic28,17.74602177554439,0,88,13.42574634047166
21,topic_topic29,27.2875,1,109,22.09801306969458
22,topic_topic3,23.90972222222222,0,94,19.129569249168007
23,topic_topic30,20.632407407407406,0,87,16.720021411988682
24,topic_topic4,15.342901878914406,0,80,16.3463765990922
25,topic_topic5,20.943516972732333,0,99,16.04045759863755
26,topic_topic6,19.96775312066574,0,102,17.29686123596134
27,topic_topic7,20.094615993665876,0,115,17.03601628992219
28,topic_topic8,13.965742677824268,0,105,14.147688108310954
29,topic_topic9,19.285028642204676,0,111,17.440942521564686
