category,total_dropping,total_messages_sent,total_messages_received,percentage
AN,12,32100,32088,0.037383177570093455
RT,24,33300,33276,0.07207207207207207
ST,13,30000,29987,0.043333333333333335
TS,30,28500,28470,0.10526315789473684
