"app, topic, category, priority, msgreceived, responsetime"
"app_app6","topic_topic8/app_app6","RT","0","6886","45152.9126984127"
"app_app6","topic_topic26/app_app6","RT","0","6886","45169.21428571428"
"app_app6","topic_topic5/app_app6","RT","0","6886","45128.371161548734"
"app_app6","topic_topic20/app_app6","RT","0","6886","45072.676666666666"
"app_app6","topic_topic15/app_app6","RT","0","6886","45092.79"
"app_app5","topic_topic1/app_app5","RT","0","8096","17541.17"
"app_app5","topic_topic14/app_app5","RT","0","8096","17566.53738317757"
"app_app5","topic_topic7/app_app5","RT","0","8096","17572.76897533207"
"app_app5","topic_topic22/app_app5","RT","0","8096","17616.76313594662"
"app_app5","topic_topic19/app_app5","RT","0","8096","17574.880641925778"
"app_app4","topic_topic21/app_app4","AN","0","9006","126.21666666666667"
"app_app4","topic_topic27/app_app4","AN","0","9006","103.99480712166172"
"app_app4","topic_topic16/app_app4","AN","0","9006","97.76612903225806"
"app_app4","topic_topic5/app_app4","AN","0","9006","99.93190921228305"
"app_app4","topic_topic6/app_app4","AN","0","9006","109.51219512195122"
"app_app3","topic_topic3/app_app3","AN","0","8702","107.54716981132076"
"app_app3","topic_topic16/app_app3","AN","0","8702","84.83349146110056"
"app_app3","topic_topic27/app_app3","AN","0","8702","100.62091988130564"
"app_app3","topic_topic4/app_app3","AN","0","8702","111.80817347789825"
"app_app3","topic_topic1/app_app3","AN","0","8702","110.34666666666666"
"app_app3","topic_topic23/app_app3","AN","0","8702","85.87650200267022"
"app_app9","topic_topic12/app_app9","TS","0","5990","126.61043285238624"
"app_app9","topic_topic2/app_app9","TS","0","5990","139.24833333333333"
"app_app9","topic_topic29/app_app9","TS","0","5990","114.68"
"app_app9","topic_topic10/app_app9","TS","0","5990","122.48361204013378"
"app_app9","topic_topic22/app_app9","TS","0","5990","168.49374478732278"
"app_app8","topic_topic21/app_app8","RT","0","9295","137.62"
"app_app8","topic_topic9/app_app8","RT","0","9295","117.21847181008901"
"app_app8","topic_topic7/app_app8","RT","0","9295","119.07685009487666"
"app_app8","topic_topic28/app_app8","RT","0","9295","118.86659979939819"
"app_app8","topic_topic11/app_app8","RT","0","9295","121.32833333333333"
"app_app7","topic_topic2/app_app7","RT","0","8999","110.64833333333333"
"app_app7","topic_topic1/app_app7","RT","0","8999","113.29333333333334"
"app_app7","topic_topic25/app_app7","RT","0","8999","107.70018975332069"
"app_app7","topic_topic9/app_app7","RT","0","8999","109.60163204747775"
"app_app7","topic_topic17/app_app7","RT","0","8999","106.2702589807853"
"app_app7","topic_topic30/app_app7","RT","0","8999","103.65593784683685"
"app_app11","topic_topic10/app_app11","TS","0","8687","50030.122742474916"
"app_app11","topic_topic13/app_app11","TS","0","8687","50024.45287739783"
"app_app11","topic_topic29/app_app11","TS","0","8687","49956.246666666666"
"app_app11","topic_topic26/app_app11","TS","0","8687","50061.743525480364"
"app_app11","topic_topic6/app_app11","TS","0","8687","50015.34756097561"
"app_app10","topic_topic18/app_app10","TS","0","7190","111.70845697329376"
"app_app10","topic_topic13/app_app10","TS","0","7190","157.49374478732278"
"app_app10","topic_topic17/app_app10","TS","0","7190","107.30701754385964"
"app_app10","topic_topic12/app_app10","TS","0","7190","108.18756936736959"
"app_app15","topic_topic15/app_app15","VS","0","4205","112.24333333333334"
"app_app15","topic_topic30/app_app15","VS","0","4205","101.99556048834629"
"app_app15","topic_topic2/app_app15","VS","0","4205","125.32"
"app_app15","topic_topic24/app_app15","VS","0","4205","107.8209534368071"
"app_app15","topic_topic11/app_app15","VS","0","4205","98.97833333333334"
"app_app14","topic_topic20/app_app14","VS","0","8987","133.26"
"app_app14","topic_topic5/app_app14","VS","0","8987","130.05273698264352"
"app_app14","topic_topic28/app_app14","VS","0","8987","133.1006352390505"
"app_app14","topic_topic8/app_app14","VS","0","8987","132.7314118629908"
"app_app14","topic_topic24/app_app14","VS","0","8987","146.34534368070953"
"app_app13","topic_topic19/app_app13","VS","0","7786","105.16649949849548"
"app_app13","topic_topic2/app_app13","VS","0","7786","111.27666666666667"
"app_app13","topic_topic23/app_app13","VS","0","7786","93.60213618157543"
"app_app13","topic_topic4/app_app13","VS","0","7786","106.07839866555463"
"app_app13","topic_topic14/app_app13","VS","0","7786","119.2222963951936"
"app_app12","topic_topic18/app_app12","TS","0","6603","116.34903560830861"
"app_app12","topic_topic13/app_app12","TS","0","6603","163.68557130942452"
"app_app12","topic_topic7/app_app12","TS","0","6603","114.99003795066413"
"app_app12","topic_topic11/app_app12","TS","0","6603","105.285"
"app_app16","topic_topic16/app_app16","VS","0","9009","120.40132827324479"
"app_app16","topic_topic30/app_app16","VS","0","9009","109.7746947835738"
"app_app16","topic_topic25/app_app16","VS","0","9009","100.01138519924099"
"app_app16","topic_topic17/app_app16","VS","0","9009","114.37635756056808"
"app_app16","topic_topic14/app_app16","VS","0","9009","116.56875834445928"
