category,total_dropping,total_messages_sent,total_messages_received,percentage
AN,15,32100,32085,0.04672897196261683
RT,28,33300,33272,0.08408408408408409
ST,15,30000,29985,0.05
TS,31,28500,28469,0.1087719298245614
