,topic,app,category,mean,min,max,std
0,topic_topic1,app_app1,AN,17.308333333333334,1,50,11.924305078448183
1,topic_topic1,app_app3,AN,18.70833333333333,2,51,12.634147679490246
2,topic_topic1,app_app5,RT,21.241666666666667,2,62,14.940605328672886
3,topic_topic1,app_app7,RT,20.55,2,61,12.853112870439247
4,topic_topic10,app_app11,TS,15.93021312160468,1,103,11.555221234965966
5,topic_topic10,app_app9,TS,13.96698704554952,1,80,10.695863764206123
6,topic_topic11,app_app12,TS,13.483333333333333,1,101,10.488871393228552
7,topic_topic11,app_app15,ST,19.58125,4,67,10.80118597543768
8,topic_topic11,app_app8,RT,17.1,2,92,11.289435636635554
9,topic_topic12,app_app10,TS,18.055478502080444,2,75,10.593484689232127
10,topic_topic12,app_app2,AN,22.576976421636616,4,129,11.563951278806474
11,topic_topic12,app_app9,TS,15.514563106796116,2,89,10.26429200671614
12,topic_topic13,app_app10,TS,19.502606882168926,2,99,14.26983268020616
13,topic_topic13,app_app11,TS,29.632950990615225,11,123,13.616764763286517
14,topic_topic13,app_app12,TS,32.34619395203337,14,127,12.676851802233388
15,topic_topic14,app_app1,AN,17.153589315525878,1,72,11.14189410058531
16,topic_topic14,app_app13,ST,23.17779632721202,3,120,13.248890793322524
17,topic_topic14,app_app16,ST,22.493322203672783,5,84,10.825703755531595
18,topic_topic14,app_app5,RT,14.408180300500836,1,69,12.292501665128244
19,topic_topic15,app_app15,ST,16.554166666666667,1,61,12.465399112538169
20,topic_topic15,app_app6,RT,19.133333333333333,2,54,12.826119619391308
21,topic_topic16,app_app16,ST,17.38552787663108,1,94,13.867739111313716
22,topic_topic16,app_app3,AN,17.109727164887307,2,86,10.163024283949142
23,topic_topic16,app_app4,AN,20.80011862396204,3,83,10.188072387700135
24,topic_topic17,app_app10,TS,12.949869451697127,1,104,9.2853630130377
25,topic_topic17,app_app16,ST,19.48929503916449,3,122,11.568805806524798
26,topic_topic17,app_app7,RT,16.433942558746736,2,106,10.688629925449712
27,topic_topic18,app_app10,TS,14.721706864564007,1,76,11.962373805481077
28,topic_topic18,app_app12,TS,16.412337662337663,1,81,12.463411543145812
29,topic_topic19,app_app13,ST,14.440217391304348,1,78,10.884309517796494
30,topic_topic19,app_app2,AN,18.53302675585284,2,110,13.437890817151
31,topic_topic19,app_app5,RT,20.43896321070234,3,119,12.787964343429886
32,topic_topic2,app_app1,AN,20.92083333333333,4,95,12.039166395055004
33,topic_topic2,app_app13,ST,23.210416666666667,6,60,11.314607839280832
34,topic_topic2,app_app15,ST,28.58333333333333,8,91,13.772129026633294
35,topic_topic2,app_app7,RT,16.091666666666665,1,78,13.617804772420683
36,topic_topic2,app_app9,TS,20.091666666666665,2,114,17.549926792171462
37,topic_topic20,app_app14,ST,20.516666666666666,2,56,12.834631063368183
38,topic_topic20,app_app6,RT,20.85,1,54,14.384818822366212
39,topic_topic21,app_app1,AN,21.995839112343965,5,105,11.68492544533204
40,topic_topic21,app_app4,AN,25.24133148404993,9,84,10.050428979358657
41,topic_topic21,app_app8,RT,17.102635228848822,2,73,10.199156078450336
42,topic_topic22,app_app2,AN,42.21376433785193,23,138,13.258045113849043
43,topic_topic22,app_app5,RT,36.35036496350365,20,107,12.84321211636044
44,topic_topic22,app_app9,TS,28.26173096976017,7,98,14.130590807998074
45,topic_topic23,app_app13,ST,15.081803005008346,1,69,11.407687074903558
46,topic_topic23,app_app3,AN,17.619365609348915,1,73,10.288829328642665
47,topic_topic24,app_app14,ST,16.87110187110187,2,74,12.801320389270598
48,topic_topic24,app_app15,ST,19.232848232848237,4,85,11.803986344267216
49,topic_topic25,app_app16,ST,17.424080664294188,1,76,13.421621741176525
50,topic_topic25,app_app7,RT,18.205812574139976,2,67,10.355737326274031
51,topic_topic26,app_app1,AN,31.879310344827587,5,112,18.114567162548752
52,topic_topic26,app_app11,TS,40.863113897596655,19,134,15.014405625570538
53,topic_topic26,app_app6,RT,45.05694879832811,22,119,14.948889969944195
54,topic_topic27,app_app3,AN,15.185992578849724,1,78,12.222462622737469
55,topic_topic27,app_app4,AN,16.5208719851577,1,77,12.455136395349513
56,topic_topic28,app_app14,ST,17.67851170568562,2,111,11.05341911977558
57,topic_topic28,app_app8,RT,14.468645484949834,1,95,10.271586981886598
58,topic_topic29,app_app11,TS,19.20833333333333,2,47,11.88395481932838
59,topic_topic29,app_app9,TS,17.620833333333334,1,58,11.853445350051883
60,topic_topic3,app_app2,AN,18.066574202496533,1,130,13.114178313220572
61,topic_topic3,app_app3,AN,19.256588072122053,2,79,10.82689111058006
62,topic_topic30,app_app15,ST,18.399445214979195,2,61,10.182293985291194
63,topic_topic30,app_app16,ST,21.86962552011096,2,92,10.764766653744516
64,topic_topic30,app_app7,RT,16.184466019417474,1,65,10.954734264451451
65,topic_topic4,app_app13,ST,16.443169968717413,1,81,10.661750100324502
66,topic_topic4,app_app3,AN,13.072992700729928,1,86,10.943720638346742
67,topic_topic5,app_app14,ST,18.467445742904843,2,78,11.246469060069876
68,topic_topic5,app_app4,AN,14.429048414023372,1,68,10.908959823944157
69,topic_topic5,app_app6,RT,22.371452420701168,3,81,12.394170338237906
70,topic_topic6,app_app11,TS,17.536382536382536,1,87,13.71664002351024
71,topic_topic6,app_app4,AN,15.03118503118503,1,73,12.531336495541552
72,topic_topic7,app_app12,TS,14.100830367734282,1,84,10.845854377299268
73,topic_topic7,app_app5,RT,18.933570581257413,1,89,13.590635628927716
74,topic_topic7,app_app8,RT,20.89620403321471,4,88,10.71765607556948
75,topic_topic8,app_app14,ST,14.714882506527417,1,106,11.350139496391504
76,topic_topic8,app_app6,RT,18.42715404699739,1,108,13.00611920907408
77,topic_topic9,app_app2,AN,16.195269016697587,1,110,14.314706012833827
78,topic_topic9,app_app7,RT,15.785714285714286,1,111,12.05838465016064
79,topic_topic9,app_app8,RT,16.882653061224488,2,113,11.470517260762982
