"app, topic, droprate, priority, msgreceived, responsetime"
"app_app6","topic_topic8/app_app6","0.0","0","4761","26.246968103448282"
"app_app6","topic_topic26/app_app6","0.0","0","4761","26.19776068376068"
"app_app6","topic_topic5/app_app6","0.0","0","4761","26.240200862068964"
"app_app6","topic_topic20/app_app6","0.0","0","4761","26.26043287435455"
"app_app6","topic_topic15/app_app6","0.0","0","4761","26.249803786574866"
"app_app6","topic_topic8/app_app6","0.0","0","4761","26.246968103448282"
"app_app6","topic_topic26/app_app6","0.0","0","4761","26.19776068376068"
"app_app6","topic_topic5/app_app6","0.0","0","4761","26.240200862068964"
"app_app6","topic_topic20/app_app6","0.0","0","4761","26.26043287435455"
"app_app6","topic_topic15/app_app6","0.0","0","4761","26.249803786574866"
"app_app6","topic_topic8/app_app6","0.0","0","4761","26.246968103448282"
"app_app6","topic_topic26/app_app6","0.0","0","4761","26.19776068376068"
"app_app6","topic_topic5/app_app6","0.0","0","4761","26.240200862068964"
"app_app6","topic_topic20/app_app6","0.0","0","4761","26.26043287435455"
"app_app6","topic_topic15/app_app6","0.0","0","4761","26.249803786574866"
"app_app6","topic_topic8/app_app6","0.0","0","4761","26.246968103448282"
"app_app6","topic_topic26/app_app6","0.0","0","4761","26.19776068376068"
"app_app6","topic_topic5/app_app6","0.0","0","4761","26.240200862068964"
"app_app6","topic_topic20/app_app6","0.0","0","4761","26.26043287435455"
"app_app6","topic_topic15/app_app6","0.0","0","4761","26.249803786574866"
"app_app6","topic_topic8/app_app6","0.0","0","4761","26.246968103448282"
"app_app6","topic_topic26/app_app6","0.0","0","4761","26.19776068376068"
"app_app6","topic_topic5/app_app6","0.0","0","4761","26.240200862068964"
"app_app6","topic_topic20/app_app6","0.0","0","4761","26.26043287435455"
"app_app6","topic_topic15/app_app6","0.0","0","4761","26.249803786574866"
"app_app5","topic_topic1/app_app5","0.0","0","5080","29.643048180924332"
"app_app5","topic_topic14/app_app5","0.0","0","5080","29.673228571428577"
"app_app5","topic_topic7/app_app5","0.0","0","5080","29.66004330708662"
"app_app5","topic_topic22/app_app5","0.0","0","5080","29.676573818897655"
"app_app5","topic_topic19/app_app5","0.0","0","5080","29.68350787401575"
"app_app5","topic_topic1/app_app5","0.0","0","5080","29.643048180924332"
"app_app5","topic_topic14/app_app5","0.0","0","5080","29.673228571428577"
"app_app5","topic_topic7/app_app5","0.0","0","5080","29.66004330708662"
"app_app5","topic_topic22/app_app5","0.0","0","5080","29.676573818897655"
"app_app5","topic_topic19/app_app5","0.0","0","5080","29.68350787401575"
"app_app5","topic_topic1/app_app5","0.0","0","5080","29.643048180924332"
"app_app5","topic_topic14/app_app5","0.0","0","5080","29.673228571428577"
"app_app5","topic_topic7/app_app5","0.0","0","5080","29.66004330708662"
"app_app5","topic_topic22/app_app5","0.0","0","5080","29.676573818897655"
"app_app5","topic_topic19/app_app5","0.0","0","5080","29.68350787401575"
"app_app5","topic_topic1/app_app5","0.0","0","5080","29.643048180924332"
"app_app5","topic_topic14/app_app5","0.0","0","5080","29.673228571428577"
"app_app5","topic_topic7/app_app5","0.0","0","5080","29.66004330708662"
"app_app5","topic_topic22/app_app5","0.0","0","5080","29.676573818897655"
"app_app5","topic_topic19/app_app5","0.0","0","5080","29.68350787401575"
