,topic,app,category,mean,min,max,std
0,topic_topic1,app_app1,AN,48.78947368421053,9,108,23.517159798923743
1,topic_topic1,app_app3,AN,42.67105263157895,10,97,18.65432464502469
2,topic_topic1,app_app5,RT,34.75833333333333,2,94,18.646006822704884
3,topic_topic1,app_app7,RT,34.958333333333336,3,79,17.86743178382142
4,topic_topic10,app_app11,TS,40.390559732665,2,107,18.412393247321397
5,topic_topic10,app_app9,TS,35.677944862155385,1,104,18.819692270873627
6,topic_topic11,app_app12,TS,36.91666666666666,4,104,12.831871420316268
7,topic_topic11,app_app15,ST,39.39102564102564,4,100,17.727622882907063
8,topic_topic11,app_app8,RT,33.014583333333334,1,91,18.646525079209145
9,topic_topic12,app_app10,TS,35.30374479889043,2,89,16.209671319626977
10,topic_topic12,app_app2,AN,45.336690647482015,8,121,18.886785950947317
11,topic_topic12,app_app9,TS,36.54091539528433,1,101,20.735002712664915
12,topic_topic13,app_app10,TS,45.14389989572472,7,106,19.313590080832395
13,topic_topic13,app_app11,TS,52.25964546402503,17,128,21.856343180955356
14,topic_topic13,app_app12,TS,54.40980187695517,18,108,18.097622880569254
15,topic_topic14,app_app1,AN,44.656716417910445,6,124,18.78531884135469
16,topic_topic14,app_app13,ST,45.20683760683761,2,110,19.315974793063983
17,topic_topic14,app_app16,ST,36.40512820512821,4,131,17.68970183738582
18,topic_topic14,app_app5,RT,34.9449081803005,1,144,27.345775698841383
19,topic_topic15,app_app15,ST,33.0,3,82,16.190863713730973
20,topic_topic15,app_app6,RT,39.1125,3,98,21.581407861211623
21,topic_topic16,app_app16,ST,42.70109356014581,2,119,19.21136533601701
22,topic_topic16,app_app3,AN,34.05503439649781,1,101,16.326248990991072
23,topic_topic16,app_app4,AN,39.561601000625394,4,110,15.360614800430604
24,topic_topic17,app_app10,TS,28.36847599164927,2,85,12.002651055071755
25,topic_topic17,app_app16,ST,30.0987785448752,4,119,17.301226163918404
26,topic_topic17,app_app7,RT,21.23538622129436,1,83,14.47220872881683
27,topic_topic18,app_app10,TS,32.00649049605934,1,104,17.715619832630562
28,topic_topic18,app_app12,TS,35.24339360222531,1,140,18.337781218511985
29,topic_topic19,app_app13,ST,33.84681215233205,2,99,16.20273894948401
30,topic_topic19,app_app2,AN,40.40586145648312,1,140,21.047438988477644
31,topic_topic19,app_app5,RT,36.88220551378446,2,158,24.14241405225093
32,topic_topic2,app_app1,AN,49.615894039735096,8,103,20.199949923430527
33,topic_topic2,app_app13,ST,38.24733475479744,2,111,19.26476063948562
34,topic_topic2,app_app15,ST,44.707889125799575,4,103,19.57109441942392
35,topic_topic2,app_app7,RT,32.233333333333334,2,84,16.49988085404358
36,topic_topic2,app_app9,TS,46.84375,6,126,22.44972491473761
37,topic_topic20,app_app14,ST,35.605932203389834,2,98,18.56837298466163
38,topic_topic20,app_app6,RT,39.3625,2,104,22.782348604781525
39,topic_topic21,app_app1,AN,49.864233576642334,3,146,26.00046034575113
40,topic_topic21,app_app4,AN,46.83649635036496,13,108,18.74676141977286
41,topic_topic21,app_app8,RT,35.37309292649098,4,102,19.24897681273438
42,topic_topic22,app_app2,AN,61.645833333333336,11,141,24.68921210721269
43,topic_topic22,app_app5,RT,63.371220020855056,12,138,19.082007551206885
44,topic_topic22,app_app9,TS,67.24713242961418,17,114,17.669797475135294
45,topic_topic23,app_app13,ST,28.12136752136752,1,92,14.722316115275104
46,topic_topic23,app_app3,AN,38.75699300699301,4,94,13.217755101291258
47,topic_topic24,app_app14,ST,36.881104033970274,3,99,20.382358253124583
48,topic_topic24,app_app15,ST,35.67515923566879,7,99,16.437707507693354
49,topic_topic25,app_app16,ST,34.268484848484846,2,128,16.3860355064682
50,topic_topic25,app_app7,RT,26.76467101363367,1,103,15.628463068516773
51,topic_topic26,app_app1,AN,82.4282572842221,25,154,20.692353189394048
52,topic_topic26,app_app11,TS,74.22767624020888,18,129,19.26749951863935
53,topic_topic26,app_app6,RT,72.86579634464752,15,128,21.40875158774456
54,topic_topic27,app_app3,AN,36.24585365853658,1,100,19.255292031876422
55,topic_topic27,app_app4,AN,39.79317073170732,2,109,19.60311805247646
56,topic_topic28,app_app14,ST,30.899059024807528,1,101,15.967207756750106
57,topic_topic28,app_app8,RT,29.53091060985798,1,99,16.194908382181666
58,topic_topic29,app_app11,TS,42.54166666666666,4,92,18.667043356430355
59,topic_topic29,app_app9,TS,39.35833333333333,2,94,18.47141672163572
60,topic_topic3,app_app2,AN,41.52623906705539,1,118,20.223821600807888
61,topic_topic3,app_app3,AN,43.18513119533527,6,96,17.13567535397358
62,topic_topic30,app_app15,ST,30.11830985915493,2,90,15.167520694639872
63,topic_topic30,app_app16,ST,35.39859154929577,3,114,17.75337225724456
64,topic_topic30,app_app7,RT,30.92787794729542,2,94,18.55630507002268
65,topic_topic4,app_app13,ST,24.97340425531915,1,104,16.487654241653466
66,topic_topic4,app_app3,AN,31.38232044198895,1,88,18.349836545505283
67,topic_topic5,app_app14,ST,32.965899403239554,1,96,18.12448977688657
68,topic_topic5,app_app4,AN,40.51099384344767,9,115,14.84800078355493
69,topic_topic5,app_app6,RT,32.10517529215359,2,112,18.627526722761
70,topic_topic6,app_app11,TS,42.10949410949411,2,103,19.47751468528072
71,topic_topic6,app_app4,AN,39.63799283154122,1,107,20.368347359583137
72,topic_topic7,app_app12,TS,33.457617071724954,1,141,16.808013672602826
