category,total_dropping,total_messages_sent,total_messages_received,percentage
AN,1602,32100,30498,4.990654205607477
RT,16,33300,33284,0.04804804804804805
ST,647,30000,29353,2.1566666666666667
TS,24,28500,28476,0.08421052631578947
