category,lower_whisker,Q1,median,Q3,upper_whisker
AN,31.38232044198895,39.63799283154122,42.67105263157895,46.83649635036496,57.63425162860057
RT,21.99638659756186,30.92787794729542,33.41724617524339,36.88220551378446,45.813696863518025
TS,28.36847599164927,35.39729481470667,39.87444653299916,46.41878747393118,62.951026462767956
VS,24.97340425531915,30.70387173339438,34.83353819889031,37.222661714177065,45.20683760683761
