category,total_dropping,total_messages_sent,total_messages_received,percentage
AN,1572,32100,30528,4.897196261682243
RT,22,33300,33278,0.06606606606606608
ST,588,30000,29412,1.96
TS,28,28500,28472,0.09824561403508772
