,topic,app,received_count,message_sent
0,topic_topic1,app_app1,287,300
1,topic_topic1,app_app3,287,300
2,topic_topic1,app_app5,300,300
3,topic_topic1,app_app7,300,300
4,topic_topic10,app_app11,2991,3000
5,topic_topic10,app_app9,2991,3000
6,topic_topic11,app_app12,600,600
7,topic_topic11,app_app15,589,600
8,topic_topic11,app_app8,600,600
9,topic_topic12,app_app10,901,900
10,topic_topic12,app_app2,869,900
11,topic_topic12,app_app9,901,900
12,topic_topic13,app_app10,1199,1200
13,topic_topic13,app_app11,1199,1200
14,topic_topic13,app_app12,1199,1200
15,topic_topic14,app_app1,1425,1500
16,topic_topic14,app_app13,1472,1500
17,topic_topic14,app_app16,1472,1500
18,topic_topic14,app_app5,1498,1500
19,topic_topic15,app_app15,297,300
20,topic_topic15,app_app6,300,300
21,topic_topic16,app_app16,2074,2100
22,topic_topic16,app_app3,2000,2100
23,topic_topic16,app_app4,2000,2100
24,topic_topic17,app_app10,2394,2400
25,topic_topic17,app_app16,2352,2400
26,topic_topic17,app_app7,2394,2400
27,topic_topic18,app_app10,2696,2700
28,topic_topic18,app_app12,2696,2700
29,topic_topic19,app_app13,2928,3000
30,topic_topic19,app_app2,2847,3000
31,topic_topic19,app_app5,2991,3000
32,topic_topic2,app_app1,571,600
33,topic_topic2,app_app13,592,600
34,topic_topic2,app_app15,592,600
35,topic_topic2,app_app7,600,600
36,topic_topic2,app_app9,600,600
37,topic_topic20,app_app14,293,300
38,topic_topic20,app_app6,300,300
39,topic_topic21,app_app1,854,900
40,topic_topic21,app_app4,854,900
41,topic_topic21,app_app8,901,900
42,topic_topic22,app_app2,1144,1200
43,topic_topic22,app_app5,1199,1200
44,topic_topic22,app_app9,1199,1200
45,topic_topic23,app_app13,1467,1500
46,topic_topic23,app_app3,1433,1500
47,topic_topic24,app_app14,1771,1800
48,topic_topic24,app_app15,1771,1800
49,topic_topic25,app_app16,2061,2100
50,topic_topic25,app_app7,2109,2100
51,topic_topic26,app_app1,2276,2400
52,topic_topic26,app_app11,2393,2400
53,topic_topic26,app_app6,2393,2400
54,topic_topic27,app_app3,2569,2700
55,topic_topic27,app_app4,2569,2700
56,topic_topic28,app_app14,2934,3000
57,topic_topic28,app_app8,2990,3000
58,topic_topic29,app_app11,300,300
59,topic_topic29,app_app9,300,300
60,topic_topic3,app_app2,855,900
61,topic_topic3,app_app3,855,900
62,topic_topic30,app_app15,884,900
63,topic_topic30,app_app16,884,900
64,topic_topic30,app_app7,901,900
65,topic_topic4,app_app13,1182,1200
66,topic_topic4,app_app3,1134,1200
67,topic_topic5,app_app14,1464,1500
68,topic_topic5,app_app4,1421,1500
69,topic_topic5,app_app6,1498,1500
70,topic_topic6,app_app11,1804,1800
71,topic_topic6,app_app4,1699,1800
72,topic_topic7,app_app12,2109,2100
73,topic_topic7,app_app5,2109,2100
74,topic_topic7,app_app8,2109,2100
75,topic_topic8,app_app14,2333,2400
76,topic_topic8,app_app6,2394,2400
77,topic_topic9,app_app2,2579,2700
78,topic_topic9,app_app7,2696,2700
79,topic_topic9,app_app8,2696,2700
