category,lower_whisker,Q1,median,Q3,upper_whisker
AN,86.67251095804633,104.04152583293096,124.3177159590044,196.393605292172,334.92172448103355
RT,100.34321280379372,106.49166666666666,128.3148404993065,18493.2252346194,46073.325586548504
TS,99.20992167101828,108.1709321385145,120.76427415626443,40133.83999608968,53521.14830287206
VS,86.4766355140187,100.90905112155633,108.40221406686317,116.64294647594504,136.23819591261451
