,topic,mean,min,max,std
0,topic_topic1,16.154166666666665,0,63,11.732737339509837
1,topic_topic10,13.011297071129707,0,103,12.86161304726108
2,topic_topic11,12.750694444444445,0,67,10.04463628370702
3,topic_topic12,14.209722222222222,0,97,14.520178032454682
4,topic_topic13,34.339596381350034,3,103,13.086296267228013
5,topic_topic14,15.313439065108515,0,91,13.62572749259291
6,topic_topic15,14.127083333333333,0,57,10.29656771528159
7,topic_topic16,12.489416419386746,0,64,10.301635830642896
8,topic_topic17,9.506708485798919,0,67,10.09467635514429
9,topic_topic18,10.823816155988858,0,93,11.74960567203989
10,topic_topic19,13.011715481171548,0,106,13.169215424096382
11,topic_topic2,14.8525,0,90,11.551897956367633
12,topic_topic20,15.335416666666667,0,75,12.352934275395775
13,topic_topic21,16.494444444444444,1,98,13.460867981137756
14,topic_topic22,40.78879610299234,8,106,12.017836831161574
15,topic_topic23,14.108096828046744,0,67,11.541574174002525
16,topic_topic24,12.253984753984755,1,72,10.847306834972342
17,topic_topic25,13.346587537091988,0,68,10.62922691234568
18,topic_topic26,37.967241679735146,18,102,14.01062586244721
19,topic_topic27,11.064298978644382,0,68,11.362294611555194
20,topic_topic28,11.615690376569038,0,70,9.835102282947561
21,topic_topic29,16.283333333333335,0,48,12.10078299944766
22,topic_topic3,14.460416666666667,0,85,14.686431640206084
23,topic_topic30,12.670370370370371,0,68,12.235895524200854
24,topic_topic4,10.64561586638831,0,58,12.119862065524977
25,topic_topic5,14.300500834724541,0,70,11.668267728246551
26,topic_topic6,12.476074895977808,0,70,13.09305722412063
27,topic_topic7,13.49950544015826,0,102,12.559173345936456
28,topic_topic8,10.066649242028229,0,89,10.77358187981692
29,topic_topic9,11.89291241101826,0,92,13.380747519370045
