category,total_dropping,total_messages_sent,total_messages_received,percentage
AN,1684,32100,30416,5.246105919003115
RT,22,33300,33278,0.06606606606606608
ST,609,30000,29391,2.03
TS,28,28500,28472,0.09824561403508772
