category,lower_whisker,Q1,median,Q3,upper_whisker
AN,19.364939360529217,23.12389380530973,24.783101045296167,27.119152691968225,33.11204102195597
RT,12.626332869726472,14.816875289754288,15.29952550415184,16.277236903106164,18.46777932313398
TS,14.986422976501306,19.28393862642482,21.0083983021483,24.5602651416406,32.47475491446427
VS,12.553054662379422,15.783131733726478,17.943507030603804,19.29185115362184,24.554930283464888
