,topic,app,category,mean,min,max,std
0,topic_topic1,app_app1,AN,30.27777777777778,5,71,13.461906905405511
1,topic_topic1,app_app3,AN,31.53846153846154,5,76,14.499689777080118
2,topic_topic1,app_app5,RT,25.8875,1,79,16.7014095689543
3,topic_topic1,app_app7,RT,24.991666666666667,2,68,14.332860587059695
4,topic_topic10,app_app11,TS,28.098620977852068,1,99,15.704268499387284
5,topic_topic10,app_app9,TS,24.220643543669038,1,100,16.33071029531655
6,topic_topic11,app_app12,TS,25.416666666666668,4,78,11.28365221181954
7,topic_topic11,app_app15,ST,23.85169491525424,2,75,16.549072535706525
8,topic_topic11,app_app8,RT,19.329166666666666,1,78,16.154136970650196
9,topic_topic12,app_app10,TS,25.35506241331484,2,86,15.944395742278132
10,topic_topic12,app_app2,AN,34.32369942196532,6,90,18.044144747435283
11,topic_topic12,app_app9,TS,26.19001386962552,1,88,20.12388603196672
12,topic_topic13,app_app10,TS,33.43899895724713,5,90,19.76659688041356
13,topic_topic13,app_app11,TS,44.61105318039625,14,110,19.89439558822431
14,topic_topic13,app_app12,TS,48.45359749739312,16,102,14.328158368121008
15,topic_topic14,app_app1,AN,27.36298932384341,1,88,16.496684692319857
16,topic_topic14,app_app13,ST,25.303938356164384,2,88,16.294291741126845
17,topic_topic14,app_app16,ST,24.89554794520548,6,96,14.7958763810352
18,topic_topic14,app_app5,RT,23.801335559265443,3,109,21.561489809990416
19,topic_topic15,app_app15,ST,23.40254237288136,3,76,11.0635992132483
20,topic_topic15,app_app6,RT,28.85833333333333,2,72,16.995345576632946
21,topic_topic16,app_app16,ST,31.34263189812007,2,100,17.335240584634587
22,topic_topic16,app_app3,AN,25.21594475831764,1,89,14.18997352429038
23,topic_topic16,app_app4,AN,29.49654739485248,4,98,13.90279948605376
24,topic_topic17,app_app10,TS,19.432375979112276,1,69,12.13292782737161
25,topic_topic17,app_app16,ST,22.761345435130806,4,84,13.726695896686834
26,topic_topic17,app_app7,RT,17.518537859007832,1,73,12.94692347768757
27,topic_topic18,app_app10,TS,21.157162726008345,1,80,14.77179095105314
28,topic_topic18,app_app12,TS,24.03616133518776,1,86,15.932038808090226
29,topic_topic19,app_app13,ST,20.898847631242,1,71,13.24428927880559
30,topic_topic19,app_app2,AN,31.04701230228471,2,120,18.69136216655079
31,topic_topic19,app_app5,RT,24.447137484329293,2,107,20.97587365180349
32,topic_topic2,app_app1,AN,33.06578947368421,10,78,15.28714365516342
33,topic_topic2,app_app13,ST,20.744136460554373,1,67,13.600943938401
34,topic_topic2,app_app15,ST,27.33262260127932,2,75,14.580319166470774
35,topic_topic2,app_app7,RT,21.77083333333333,3,78,14.723817331075743
36,topic_topic2,app_app9,TS,26.620833333333334,2,86,12.73013550732256
37,topic_topic20,app_app14,ST,24.28936170212766,2,66,12.83030657018186
38,topic_topic20,app_app6,RT,23.1875,2,60,12.405721871235205
39,topic_topic21,app_app1,AN,32.69352517985612,2,106,22.19262413698434
40,topic_topic21,app_app4,AN,35.32661870503597,11,103,17.956353485081703
41,topic_topic21,app_app8,RT,23.52149791955617,3,90,17.55522701450763
42,topic_topic22,app_app2,AN,56.19234972677596,20,112,19.10291563114381
43,topic_topic22,app_app5,RT,55.511991657977056,18,131,14.588281828139198
44,topic_topic22,app_app9,TS,58.57664233576642,18,100,14.2566732273633
45,topic_topic23,app_app13,ST,25.533789563729684,1,86,16.07284667058358
46,topic_topic23,app_app3,AN,25.99733570159858,1,96,14.341330854316912
47,topic_topic24,app_app14,ST,23.48169014084507,2,84,16.942936270314696
48,topic_topic24,app_app15,ST,24.642957746478874,6,85,14.046333767309276
49,topic_topic25,app_app16,ST,22.776355880560637,2,103,13.78004306800957
50,topic_topic25,app_app7,RT,17.09128630705394,1,75,12.84001247926969
51,topic_topic26,app_app1,AN,50.34722984092156,10,126,24.64676023480028
52,topic_topic26,app_app11,TS,50.92271540469974,13,120,19.066957882810176
53,topic_topic26,app_app6,RT,50.98537859007833,16,134,20.70852593234884
54,topic_topic27,app_app3,AN,24.5359765051395,1,83,16.38739072557885
55,topic_topic27,app_app4,AN,27.308370044052865,2,83,16.488825154677087
56,topic_topic28,app_app14,ST,21.02991452991453,1,88,13.557565042969902
57,topic_topic28,app_app8,RT,18.875888006686168,1,90,13.398231219338246
58,topic_topic29,app_app11,TS,29.320833333333333,1,71,15.70974910289377
59,topic_topic29,app_app9,TS,28.316666666666663,1,69,16.76990896167849
60,topic_topic3,app_app2,AN,29.86764705882353,1,90,20.14988344873209
61,topic_topic3,app_app3,AN,32.22941176470588,2,90,17.763717210595473
62,topic_topic30,app_app15,ST,20.51825842696629,1,79,15.957387111692768
63,topic_topic30,app_app16,ST,23.53932584269663,2,97,15.870382984822928
64,topic_topic30,app_app7,RT,21.2746185852982,1,88,16.69745595725883
65,topic_topic4,app_app13,ST,12.96478121664888,1,80,13.494056850255868
66,topic_topic4,app_app3,AN,28.478213507625277,1,86,15.982442120303356
67,topic_topic5,app_app14,ST,24.63336155800169,2,87,15.271837533723732
68,topic_topic5,app_app4,AN,31.120386643233743,3,84,13.855089556642463
69,topic_topic5,app_app6,RT,19.53589315525877,1,80,16.62289883693457
70,topic_topic6,app_app11,TS,27.11573111573112,1,105,19.80605815401765
