category,total_dropping,total_messages_sent,total_messages_received,percentage
AN,1650,32100,30450,5.14018691588785
RT,22,33300,33278,0.06606606606606608
ST,646,30000,29354,2.1533333333333333
TS,28,28500,28472,0.09824561403508772
