top - 10:26:38 up 33 min,  1 user,  load average: 2,15, 1,62, 1,44
Tasks: 387 total,   1 running, 386 sleeping,   0 stopped,   0 zombie
%Cpu(s): 17,0 us,  5,9 sy,  0,0 ni, 76,3 id,  0,0 wa,  0,0 hi,  0,7 si,  0,0 st
MiB Mem :  31835,6 total,  22532,7 free,   4824,7 used,   4478,2 buff/cache
MiB Swap:   7628,0 total,   7628,0 free,      0,0 used.  25848,3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  17488 root      20   0   11,8g 418292  28040 S 100,0   1,3   2:12.79 java
    130 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kswapd0
    131 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ecryptf+
    133 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kthrotld
    134 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/125+
    136 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/126+
    139 root      20   0       0      0      0 I   0,0   0,0   0:02.65 kworker+
    140 root      20   0       0      0      0 I   0,0   0,0   0:00.33 kworker+
    141 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 acpi_th+
    144 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 vfio-ir+
    146 root       0 -20       0      0      0 I   0,0   0,0   0:00.15 kworker+
    147 root       0 -20       0      0      0 I   0,0   0,0   0:00.11 kworker+
    148 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mld
    149 root       0 -20       0      0      0 I   0,0   0,0   0:00.10 kworker+
    150 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipv6_ad+
    159 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kstrp
    162 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 zswap-s+
    170 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 charger+
    212 root      20   0       0      0      0 I   0,0   0,0   0:00.33 kworker+
    223 root       0 -20       0      0      0 I   0,0   0,0   0:00.14 kworker+
    228 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-wq
    229 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-re+
    230 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-de+
    232 root       0 -20       0      0      0 I   0,0   0,0   0:00.08 kworker+
    233 root       0 -20       0      0      0 I   0,0   0,0   0:00.13 kworker+
    236 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/39-+
    238 root     -51   0       0      0      0 S   0,0   0,0   0:00.07 irq/156+
    269 root      20   0       0      0      0 S   0,0   0,0   0:00.22 jbd2/nv+
    270 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rs+
    312 root      19  -1  152568  93592  91988 S   0,0   0,3   0:01.20 systemd+
    337 root      20   0   25000   7836   4184 S   0,0   0,0   0:00.86 systemd+
    350 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipmi-ms+
    422 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cfg80211
    423 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/165+
    424 root     -51   0       0      0      0 S   0,0   0,0   0:00.42 irq/166+
    425 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/167+
    426 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/168+
    427 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/169+
    428 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/170+
    429 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/171+
    430 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/172+
    431 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/173+
    432 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/174+
    433 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/175+
    436 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cryptd
    437 root       0 -20       0      0      0 I   0,0   0,0   0:04.84 kworker+
    447 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    448 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    449 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    451 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    493 root      20   0       0      0      0 I   0,0   0,0   0:01.18 kworker+
    613 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 USBC000+
    669 root      20   0       0      0      0 S   0,0   0,0   0:00.06 jbd2/nv+
    670 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rs+
    705 systemd+  20   0   24552  13444   9488 S   0,0   0,0   0:00.63 systemd+
    706 systemd+  20   0   90912   5944   5156 S   0,0   0,0   0:00.06 systemd+
    737 root      10 -10    9908   5164   4056 S   0,0   0,0   0:00.84 ovsdb-s+
    763 root      20   0  246900   7580   6628 S   0,0   0,0   0:00.14 account+
    764 root      20   0    2548    776    708 S   0,0   0,0   0:00.69 acpid
    768 avahi     20   0    8800   4056   3532 S   0,0   0,0   0:00.69 avahi-d+
    769 root      20   0    8368   4972   4568 S   0,0   0,0   0:00.01 bluetoo+
    770 root      20   0   18056   2836   2628 S   0,0   0,0   0:00.00 cron
    772 root      20   0   37200   8932   7156 S   0,0   0,0   0:00.00 cupsd
    774 message+  20   0    9972   6560   3880 S   0,0   0,0   0:05.76 dbus-da+
    775 root      20   0  419308  21232  17016 S   0,0   0,1   0:03.16 Network+
    780 root      20   0  231884   6328   5292 S   0,0   0,0   0:00.50 iio-sen+
    783 root      20   0   81936   3704   3376 S   0,0   0,0   0:00.15 irqbala+
    785 root      20   0   48316  20864  12120 S   0,0   0,1   0:00.11 network+
    789 root      20   0  249824  13588   7368 S   0,0   0,0   0:01.50 polkitd
    791 syslog    20   0  224352   5308   3752 S   0,0   0,0   0:00.34 rsyslogd
    794 root      20   0 1467084  45756  20300 S   0,0   0,1   0:02.14 snapd
    795 root      20   0  244244   6128   5572 S   0,0   0,0   0:00.00 switche+
    802 root      20   0   17476   8248   7112 S   0,0   0,0   0:01.06 systemd+
    806 root      20   0  393568  12864  10468 S   0,0   0,0   0:00.46 udisksd
    808 root      20   0   14080   9256   8260 S   0,0   0,0   0:00.29 wpa_sup+
    814 avahi     20   0    8348    328      0 S   0,0   0,0   0:00.00 avahi-d+
    842 root      20   0  176488  12676  11032 S   0,0   0,0   0:00.39 cups-br+
    855 root      20   0  315112  11636   9832 S   0,0   0,0   0:00.21 ModemMa+
    856 root      20   0  247132   7304   6564 S   0,0   0,0   0:00.21 boltd
    986 root      10 -10  678196  90000  11640 S   0,0   0,3   0:08.84 ovs-vsw+
    998 root      20   0 1726372  48316  33048 S   0,0   0,1   0:05.85 contain+
   1001 root      20   0  126812  23308  15112 S   0,0   0,1   0:00.04 unatten+
   1003 root      20   0   12188   6744   5900 S   0,0   0,0   0:00.00 sshd
   1005 root      20   0  248248   8684   7492 S   0,0   0,0   0:00.01 gdm3
   1073 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 USBC000+
   1101 rtkit     21   1  152936   3028   2796 S   0,0   0,0   0:00.04 rtkit-d+
   1188 root      20   0  261144   9980   8440 S   0,0   0,0   0:00.32 upowerd
   1433 colord    20   0  254864  14756   9520 S   0,0   0,0   0:00.13 colord
   1476 root       0 -20       0      0      0 I   0,0   0,0   0:04.82 kworker+
   1556 root      20   0 2522148 134228  66708 S   0,0   0,4   0:41.78 dockerd
   1568 whoopsie  20   0  326864  15912  13984 S   0,0   0,0   0:00.51 whoopsie
   1588 kernoops  20   0   11264    444      0 S   0,0   0,0   0:00.04 kernelo+
   1605 kernoops  20   0   11264    444      0 S   0,0   0,0   0:00.04 kernelo+
   1660 root      20   0    2496    508    448 S   0,0   0,0   0:00.02 bpfilte+
   1804 root      20   0  175828   9468   7936 S   0,0   0,0   0:00.02 gdm-ses+
   1830 satrai    20   0   20084  10724   8176 S   0,0   0,0   0:02.63 systemd
   1831 satrai    20   0  104460   3756      4 S   0,0   0,0   0:00.00 (sd-pam)
   1838 satrai    39  19  520164  24652  16452 S   0,0   0,1   0:00.08 tracker+
   1842 satrai    20   0    8436   5464   3852 S   0,0   0,0   0:00.42 dbus-da+
   1844 satrai    20   0  248820   7696   6632 S   0,0   0,0   0:00.05 gnome-k+
   1862 satrai    20   0  248456   7856   6820 S   0,0   0,0   0:00.04 gvfsd
   1867 satrai    20   0  378348   5464   4936 S   0,0   0,0   0:00.00 gvfsd-f+
   1869 satrai    20   0  322680   9560   7776 S   0,0   0,0   0:07.47 gvfs-ud+
   1880 satrai    20   0  246748   6444   5720 S   0,0   0,0   0:00.01 gvfs-gp+
   1885 satrai    20   0  325360   8952   7920 S   0,0   0,0   0:00.07 gvfs-af+
   1891 satrai    20   0  244512   6056   5528 S   0,0   0,0   0:00.01 gvfs-go+
   1895 satrai    20   0  561916  34760  28580 S   0,0   0,1   0:00.38 goa-dae+
   1898 root      10 -10       0      0      0 S   0,0   0,0   0:00.00 krfcommd
   1905 satrai    20   0  323392   8876   7836 S   0,0   0,0   0:00.04 goa-ide+
   1911 satrai    20   0  244340   5796   5164 S   0,0   0,0   0:00.01 gvfs-mt+
   1925 satrai    20   0  172652   6600   5968 S   0,0   0,0   0:00.01 gdm-x-s+
   1927 satrai    20   0  567444  96752  56808 S   0,0   0,3   1:22.80 Xorg
   1937 satrai    20   0  196852  13860  12372 S   0,0   0,0   0:00.01 gnome-s+
   2006 satrai    20   0    6044    456      0 S   0,0   0,0   0:00.00 ssh-age+
   2024 satrai    20   0  305420   6660   6068 S   0,0   0,0   0:00.00 at-spi-+
   2029 satrai    20   0    7380   4280   3816 S   0,0   0,0   0:00.12 dbus-da+
   2037 satrai    20   0   98696   4360   3944 S   0,0   0,0   0:00.00 gnome-s+
   2044 satrai    20   0  492828  15580  12976 S   0,0   0,0   0:00.06 gnome-s+
   2058 satrai    20   0 4913196 275060 114952 S   0,0   0,8   1:35.57 gnome-s+
   2084 satrai    20   0  396188  11568   6836 S   0,0   0,0   0:12.82 ibus-da+
   2088 satrai    20   0  171340   7104   6476 S   0,0   0,0   0:00.00 ibus-me+
   2089 satrai    20   0  284348  31864  18284 S   0,0   0,1   0:02.50 ibus-ex+
   2091 satrai    20   0  206604  28356  18464 S   0,0   0,1   0:00.18 ibus-x11
   2096 satrai    20   0  245140   6328   5868 S   0,0   0,0   0:00.03 ibus-po+
   2106 satrai    20   0  162840   7692   6912 S   0,0   0,0   0:00.34 at-spi2+
   2110 satrai    20   0  244232   4912   4480 S   0,0   0,0   0:00.00 xdg-per+
   2114 satrai    20   0  581332  20232  17280 S   0,0   0,1   0:00.04 gnome-s+
   2121 satrai    20   0  398884  25428  21712 S   0,0   0,1   0:00.02 evoluti+
   2130 satrai    20   0  847324  30660  26632 S   0,0   0,1   0:00.40 evoluti+
   2140 satrai    20   0  156364   5684   4956 S   0,0   0,0   0:00.03 dconf-s+
   2146 satrai    20   0  755688  29784  26276 S   0,0   0,1   0:00.40 evoluti+
   2161 satrai    20   0 2938928  26692  21668 S   0,0   0,1   0:00.04 gjs
   2173 satrai    20   0  322724   8104   6884 S   0,0   0,0   0:00.56 gvfsd-t+
   2183 satrai    20   0  318296   6480   5872 S   0,0   0,0   0:00.01 gsd-a11+
   2184 satrai    20   0  597336  30812  20564 S   0,0   0,1   0:00.17 gsd-col+
   2185 satrai    20   0  382248  16108  14160 S   0,0   0,0   0:00.01 gsd-dat+
   2187 satrai    20   0  320484   7548   6720 S   0,0   0,0   0:01.85 gsd-hou+
   2190 satrai    20   0  428400  28832  18724 S   0,0   0,1   0:00.21 gsd-key+
   2192 satrai    20   0  696972  31868  20920 S   0,0   0,1   0:00.41 gsd-med+
   2194 satrai    20   0  428804  29756  19544 S   0,0   0,1   0:00.58 gsd-pow+
   2195 satrai    20   0  256856  11428  10008 S   0,0   0,0   0:00.01 gsd-pri+
   2198 satrai    20   0  465736   6092   5496 S   0,0   0,0   0:00.34 gsd-rfk+
   2200 satrai    20   0  244144   5916   5392 S   0,0   0,0   0:00.00 gsd-scr+
   2202 satrai    20   0  473540  10572   8884 S   0,0   0,0   0:01.29 gsd-sha+
   2203 satrai    20   0  471260   8372   7536 S   0,0   0,0   0:00.01 gsd-sma+
   2204 satrai    20   0  327988   9232   8216 S   0,0   0,0   0:00.00 gsd-sou+
   2205 satrai    20   0  467328   7276   6580 S   0,0   0,0   0:00.01 gsd-usb+
   2206 satrai    20   0  354116  28168  18016 S   0,0   0,1   0:00.21 gsd-wac+
   2207 satrai    20   0  396456   7984   7080 S   0,0   0,0   0:00.01 gsd-wwan
   2208 satrai    20   0  355352  29760  19156 S   0,0   0,1   0:00.25 gsd-xse+
   2229 satrai    20   0  654752  59704  43536 S   0,0   0,2   0:00.23 evoluti+
   2235 satrai    20   0  231804   5808   4760 S   0,0   0,0   0:00.02 gsd-dis+
   2248 satrai    20   0  171332   7176   6544 S   0,0   0,0   0:03.62 ibus-en+
   2309 satrai    20   0  350820  15112  13216 S   0,0   0,0   0:00.00 gsd-pri+
   2369 satrai    20   0  876636  57596  42268 S   0,0   0,2   0:00.59 gnome-c+
   2581 satrai    20   0  755516  44852  28064 S   0,0   0,1   0:00.38 seahorse
   2695 satrai    20   0 1081508  86816  48952 S   0,0   0,3   0:07.98 nautilus
   2697 satrai    20   0  975744  56656  40204 S   0,0   0,2   0:23.11 gnome-t+
   2721 satrai    20   0  207028  27124  18000 S   0,0   0,1   0:00.05 eclipse
