category,total_dropping,total_messages_sent,total_messages_received,percentage
AN,13,32100,32087,0.040498442367601244
RT,25,33300,33275,0.07507507507507508
ST,13,30000,29987,0.043333333333333335
TS,29,28500,28471,0.10175438596491228
