"app, topic, category, priority, msgreceived, responsetime"
"app_app6","topic_topic8/app_app6","RT","0","6885","40.544695071010864"
"app_app6","topic_topic26/app_app6","RT","0","6885","75.14124529878814"
"app_app6","topic_topic5/app_app6","RT","0","6885","42.7803738317757"
"app_app6","topic_topic20/app_app6","RT","0","6885","47.67666666666667"
"app_app6","topic_topic15/app_app6","RT","0","6885","31.963333333333335"
"app_app5","topic_topic1/app_app5","RT","0","8096","42.513333333333335"
"app_app5","topic_topic14/app_app5","RT","0","8096","55.71628838451269"
"app_app5","topic_topic7/app_app5","RT","0","8096","46.70066413662239"
"app_app5","topic_topic22/app_app5","RT","0","8096","76.51125938281902"
"app_app5","topic_topic19/app_app5","RT","0","8096","47.719826145101976"
"app_app4","topic_topic21/app_app4","AN","0","9006","47.778888888888886"
"app_app4","topic_topic27/app_app4","AN","0","9006","41.054154302670625"
"app_app4","topic_topic16/app_app4","AN","0","9006","39.344876660341555"
"app_app4","topic_topic5/app_app4","AN","0","9006","40.20160213618158"
"app_app4","topic_topic6/app_app4","AN","0","9006","41.40465631929047"
"app_app3","topic_topic3/app_app3","AN","0","8702","37.25527192008879"
"app_app3","topic_topic16/app_app3","AN","0","8702","35.34060721062619"
"app_app3","topic_topic27/app_app3","AN","0","8702","38.297477744807125"
"app_app3","topic_topic4/app_app3","AN","0","8702","27.261050875729776"
"app_app3","topic_topic1/app_app3","AN","0","8702","41.32666666666667"
"app_app3","topic_topic23/app_app3","AN","0","8702","36.63618157543391"
"app_app9","topic_topic12/app_app9","TS","0","5991","36.087680355160934"
"app_app9","topic_topic2/app_app9","TS","0","5991","47.565"
"app_app9","topic_topic29/app_app9","TS","0","5991","36.776666666666664"
"app_app9","topic_topic10/app_app9","TS","0","5991","37.28117686392511"
"app_app9","topic_topic22/app_app9","TS","0","5991","67.81901584653878"
"app_app8","topic_topic21/app_app8","RT","0","9295","43.32222222222222"
"app_app8","topic_topic9/app_app8","RT","0","9295","41.45066765578635"
"app_app8","topic_topic7/app_app8","RT","0","9295","40.50521821631879"
"app_app8","topic_topic28/app_app8","RT","0","9295","39.139418254764294"
"app_app8","topic_topic11/app_app8","RT","0","9295","40.858333333333334"
"app_app7","topic_topic2/app_app7","RT","0","8999","39.31333333333333"
"app_app7","topic_topic1/app_app7","RT","0","8999","44.10333333333333"
"app_app7","topic_topic25/app_app7","RT","0","8999","38.943548387096776"
"app_app7","topic_topic9/app_app7","RT","0","8999","39.03041543026706"
"app_app7","topic_topic17/app_app7","RT","0","8999","40.838345864661655"
"app_app7","topic_topic30/app_app7","RT","0","8999","38.52497225305216"
"app_app11","topic_topic10/app_app11","TS","0","8687","42.74523570712137"
"app_app11","topic_topic13/app_app11","TS","0","8687","62.0"
"app_app11","topic_topic29/app_app11","TS","0","8687","39.156666666666666"
"app_app11","topic_topic26/app_app11","TS","0","8687","76.79774341830338"
"app_app11","topic_topic6/app_app11","TS","0","8687","43.257760532150776"
"app_app10","topic_topic18/app_app10","TS","0","7190","36.22848664688427"
"app_app10","topic_topic13/app_app10","TS","0","7190","52.97414512093411"
"app_app10","topic_topic17/app_app10","TS","0","7190","34.446532999164575"
"app_app10","topic_topic12/app_app10","TS","0","7190","35.33296337402886"
"app_app15","topic_topic15/app_app15","VS","0","4205","33.343333333333334"
"app_app15","topic_topic30/app_app15","VS","0","4205","32.5715871254162"
"app_app15","topic_topic2/app_app15","VS","0","4205","58.056666666666665"
"app_app15","topic_topic24/app_app15","VS","0","4205","41.12305986696231"
"app_app15","topic_topic11/app_app15","VS","0","4205","41.64"
"app_app14","topic_topic20/app_app14","VS","0","8987","38.15"
"app_app14","topic_topic5/app_app14","VS","0","8987","38.8931909212283"
"app_app14","topic_topic28/app_app14","VS","0","8987","37.50785690404547"
"app_app14","topic_topic8/app_app14","VS","0","8987","42.39891395154553"
"app_app14","topic_topic24/app_app14","VS","0","8987","43.91075388026608"
"app_app13","topic_topic19/app_app13","VS","0","7786","37.32932129722501"
"app_app13","topic_topic2/app_app13","VS","0","7786","43.906666666666666"
"app_app13","topic_topic23/app_app13","VS","0","7786","42.154205607476634"
"app_app13","topic_topic4/app_app13","VS","0","7786","26.204336947456213"
"app_app13","topic_topic14/app_app13","VS","0","7786","39.89719626168224"
"app_app12","topic_topic18/app_app12","TS","0","6603","40.346439169139465"
"app_app12","topic_topic13/app_app12","TS","0","6603","65.47873227689742"
"app_app12","topic_topic7/app_app12","TS","0","6603","40.31878557874763"
"app_app12","topic_topic11/app_app12","TS","0","6603","33.403333333333336"
"app_app16","topic_topic16/app_app16","VS","0","9009","38.969165085388994"
"app_app16","topic_topic30/app_app16","VS","0","9009","35.98668146503885"
"app_app16","topic_topic25/app_app16","VS","0","9009","43.213946869070206"
"app_app16","topic_topic17/app_app16","VS","0","9009","41.794486215538846"
