top - 15:28:20 up  4:25,  1 user,  load average: 2,42, 2,75, 2,22
Tasks: 389 total,   1 running, 388 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13,6 us,  0,8 sy,  0,0 ni, 85,6 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  31835,6 total,  20859,3 free,   4557,7 used,   6418,6 buff/cache
MiB Swap:   7628,0 total,   7628,0 free,      0,0 used.  26111,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  69311 root      20   0   11,8g 193256  28516 S 100,0   0,6   1:49.03 java
    135 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/12+
    136 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/12+
    141 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 acpi_t+
    144 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 vfio-i+
    146 root       0 -20       0      0      0 I   0,0   0,0   0:00.74 kworke+
    147 root       0 -20       0      0      0 I   0,0   0,0   0:00.77 kworke+
    148 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mld
    149 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipv6_a+
    158 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kstrp
    161 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 zswap-+
    169 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 charge+
    192 root       0 -20       0      0      0 I   0,0   0,0   0:00.80 kworke+
    228 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-wq
    229 root       0 -20       0      0      0 I   0,0   0,0   0:00.74 kworke+
    230 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-r+
    231 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-d+
    232 root       0 -20       0      0      0 I   0,0   0,0   0:00.59 kworke+
    235 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/39+
    238 root     -51   0       0      0      0 S   0,0   0,0   0:35.17 irq/15+
    239 root       0 -20       0      0      0 I   0,0   0,0   0:00.61 kworke+
    271 root      20   0       0      0      0 S   0,0   0,0   0:00.62 jbd2/n+
    272 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-r+
    312 root      19  -1  109020  62448  60856 S   0,0   0,2   0:02.26 system+
