"topic","app","response_time","throughput","drop_rate"
"topic1","app3","0.04542320841101869","0.020854864087670816","0.0"
"topic10","app9","0.03712604492318039","0.9411598493074574","0.0"
"topic2","app9","0.04869509424584151","0.41076649986090064","0.0"
"topic17","app7","0.042611987043469544","1.5562953191942026","0.0"
"topic11","app8","0.04078180303823815","0.40340040193775933","0.0"
"topic1","app5","0.04251411750193038","0.020854864087670816","0.0"
"topic22","app9","0.04156284896279055","4.055526005529004","0.0"
"topic2","app1","0.048042573900678585","0.41076649986090064","0.0"
"topic9","app7","0.04118421137936578","1.281251990113654","0.0"
"topic21","app4","0.04114802683015642","1.18068891849934","0.0"
"topic14","app16","0.04445667227969654","0.9669087961165242","0.0"
"topic22","app2","0.04180951877574653","4.055526005529004","0.0"
"topic25","app16","0.03743310036090719","1.380968519470661","0.0"
"topic17","app16","0.041568166790198535","1.5562953191942026","0.0"
"topic4","app3","0.03533586884367864","0.0739595249554272","0.0"
"topic2","app13","0.04817491803870777","0.41076649986090064","0.0"
"topic5","app14","0.04140400040197753","0.9964848935968104","0.0"
"topic6","app11","0.037525041702003416","0.03608908841153893","0.0"
"topic6","app4","0.03676688094384332","0.03608908841153893","0.0"
"topic26","app6","0.041320272428464595","7.166701440834769","0.0"
"topic16","app16","0.04105334245982346","1.3602033268837421","0.0"
"topic23","app13","0.03823535658996489","0.996341036221207","0.0"
"topic21","app8","0.0411454695274218","1.18068891849934","0.0"
"topic12","app2","0.041794087758668455","0.14563528888572982","0.0"
"topic20","app6","0.038822719844311855","0.19790985444558162","0.0"
"topic28","app8","0.03761044477843166","1.9613566706939087","0.0"
"topic18","app12","0.0369087228764913","0.8661625386743973","0.0"
"topic11","app12","0.04076847396304085","0.40340040193775933","0.0"
"topic15","app6","0.03728178518090971","0.19460645142885094","0.0"
"topic19","app5","0.04091463621681641","1.9670960527031376","0.0"
"topic9","app8","0.04141241405729637","1.281251990113654","0.0"
"topic14","app13","0.044372714210979554","0.9669087961165242","0.0"
"topic12","app10","0.042113615413439415","0.14563528888572982","0.0"
"topic14","app5","0.044324691287388404","0.9669087961165242","0.0"
"topic7","app5","0.04174150675817263","1.316652836082995","0.0"
"topic9","app2","0.041218745332371416","1.281251990113654","0.0"
"topic3","app2","0.03551238911150052","0.009972181809998874","0.0"
"topic25","app7","0.0375341104619172","1.380968519470661","0.0"
"topic13","app12","0.04136357660957272","2.2628615524894005","0.0"
"topic10","app11","0.037224936130289585","0.9411598493074574","0.0"
"topic20","app14","0.03833718991394752","0.19790985444558162","0.0"
"topic8","app6","0.037617727292395375","1.5657798567538526","0.0"
"topic8","app14","0.03755006431660204","1.5657798567538526","0.0"
"topic7","app8","0.04173054639152332","1.316652836082995","0.0"
"topic23","app3","0.03810818493560768","0.996341036221207","0.0"
"topic4","app13","0.0354725742435418","0.0739595249554272","0.0"
"topic2","app7","0.04825282251932048","0.41076649986090064","0.0"
"topic5","app4","0.04130041924509802","0.9964848935968104","0.0"
"topic18","app10","0.036885765869436773","0.8661625386743973","0.0"
"topic24","app14","0.03755007630822079","2.353341666993009","0.0"
"topic21","app1","0.04145784300379201","1.18068891849934","0.0"
"topic13","app10","0.04123915448452621","2.2628615524894005","0.0"
"topic16","app3","0.040552959840616576","1.3602033268837421","0.0"
"topic19","app13","0.04089674901142922","1.9670960527031376","0.0"
"topic1","app1","0.04469593568374653","0.020854864087670816","0.0"
"topic30","app15","0.04166862238833657","0.057878214745778186","0.0"
"topic11","app15","0.041045878615583065","0.40340040193775933","0.0"
"topic28","app14","0.03765157031955717","1.9613566706939087","0.0"
"topic30","app16","0.040858584968130426","0.057878214745778186","0.0"
"topic24","app15","0.03742213654179542","2.353341666993009","0.0"
"topic29","app9","0.02935765092880871","0.008350592008206181","0.0"
"topic29","app11","0.028872802443960666","0.008350592008206181","0.0"
"topic12","app9","0.041766302745210176","0.14563528888572982","0.0"
"topic1","app7","0.043629269017080786","0.020854864087670816","0.0"
"topic26","app1","0.04083909031191273","7.166701440834769","0.0"
"topic19","app2","0.04083726332299209","1.9670960527031376","0.0"
"topic22","app5","0.04167374963619112","4.055526005529004","0.0"
"topic7","app12","0.04160777212675317","1.316652836082995","0.0"
"topic27","app3","0.03804815166849475","0.36289198579760024","0.0"
"topic3","app3","0.0356177909560327","0.009972181809998874","0.0"
"topic16","app4","0.040912745452495416","1.3602033268837421","0.0"
"topic30","app7","0.0414749177878525","0.057878214745778186","0.0"
"topic14","app1","0.04410474834093694","0.9669087961165242","0.0"
"topic26","app11","0.04109892672411049","7.166701440834769","0.0"
"topic13","app11","0.0412250484710447","2.2628615524894005","0.0"
"topic15","app15","0.03646464271759561","0.19460645142885094","0.0"
"topic5","app6","0.04082488320486427","0.9964848935968104","0.0"
"topic2","app15","0.04749006614852875","0.41076649986090064","0.0"
"topic27","app4","0.03842693954728228","0.36289198579760024","0.0"
"topic17","app10","0.0414773549976387","1.5562953191942026","0.0"
