,topic,mean,min,max,std
0,topic_topic1,23.309375,1,67,13.98036443756352
1,topic_topic10,21.73890284757119,0,98,15.838421121870116
2,topic_topic11,25.680555555555557,1,101,16.507312077353767
3,topic_topic12,20.32175925925926,0,87,15.561787638750832
4,topic_topic13,35.822546972860124,12,100,15.201323276665722
5,topic_topic14,24.13324979114453,0,100,16.25619379723272
6,topic_topic15,21.414583333333333,0,74,14.17902961517868
7,topic_topic16,21.104315122723673,0,101,13.983303290805576
8,topic_topic17,15.310320781032079,0,107,13.005033087860593
9,topic_topic18,19.525081281932188,0,80,14.164290635383493
10,topic_topic19,21.63288665549972,0,104,15.500305067877166
11,topic_topic2,27.536666666666665,1,113,18.614838229394227
12,topic_topic20,20.935416666666665,1,84,14.850331805454061
13,topic_topic21,26.4375,1,111,17.442734498909417
14,topic_topic22,43.80703587600139,17,106,17.106726857856373
15,topic_topic23,21.6949081803005,0,96,14.504019713212347
16,topic_topic24,23.086685159500693,2,85,14.917861927166957
17,topic_topic25,21.578681710213775,0,92,14.618636361183855
18,topic_topic26,56.7365760111576,24,119,16.630593159362444
19,topic_topic27,20.04946586158848,0,75,14.101444838053627
20,topic_topic28,19.8285175879397,0,89,12.629165579169426
21,topic_topic29,23.7375,0,62,15.048073625317805
22,topic_topic3,21.44375,0,87,16.366490701869203
23,topic_topic30,19.66712962962963,0,93,14.819958035876283
24,topic_topic4,17.213987473903966,0,72,14.674719654484102
25,topic_topic5,22.58312447786132,0,101,15.724711646419886
26,topic_topic6,22.808599167822468,0,81,16.551922181478265
27,topic_topic7,22.426563737133808,0,98,15.558930928778535
28,topic_topic8,15.683838912133892,0,87,14.126930676871803
29,topic_topic9,21.565412602570056,0,100,16.51938017965216
