"app, topic, category, priority, msgreceived, responsetime"
"app_app6","topic_topic15","RT","0","6876","24.52"
"app_app6","topic_topic26","RT","0","6876","56.39330543933055"
"app_app6","topic_topic5","RT","0","6876","23.447860962566846"
"app_app6","topic_topic8","RT","0","6876","14.018410041841005"
"app_app6","topic_topic20","RT","0","6876","23.003333333333334"
"app_app5","topic_topic1","RT","0","8083","21.616666666666667"
"app_app5","topic_topic14","RT","0","8083","22.607620320855617"
"app_app5","topic_topic19","RT","0","8083","22.837520938023452"
"app_app5","topic_topic7","RT","0","8083","24.439904988123516"
"app_app5","topic_topic22","RT","0","8083","45.32163742690059"
"app_app4","topic_topic5","AN","0","8994","21.50601604278075"
"app_app4","topic_topic6","AN","0","8994","21.322974472807992"
"app_app4","topic_topic16","AN","0","8994","19.528266033254155"
"app_app4","topic_topic27","AN","0","8994","20.670011148272017"
"app_app4","topic_topic21","AN","0","8994","25.60333333333333"
"app_app3","topic_topic1","AN","0","8691","21.803333333333335"
"app_app3","topic_topic23","AN","0","8691","19.93453573814295"
"app_app3","topic_topic3","AN","0","8691","20.986666666666668"
"app_app3","topic_topic16","AN","0","8691","20.28646080760095"
"app_app3","topic_topic27","AN","0","8691","20.7603121516165"
"app_app3","topic_topic4","AN","0","8691","17.473288814691152"
"app_app9","topic_topic2","TS","0","5982","23.97"
"app_app9","topic_topic12","TS","0","5982","20.664444444444445"
"app_app9","topic_topic29","TS","0","5982","22.486666666666668"
"app_app9","topic_topic10","TS","0","5982","21.121943048576213"
"app_app9","topic_topic22","TS","0","5982","47.13784461152882"
"app_app8","topic_topic28","RT","0","9281","20.10251256281407"
"app_app8","topic_topic9","RT","0","9281","21.30843552582683"
"app_app8","topic_topic7","RT","0","9281","22.558194774346795"
"app_app8","topic_topic21","RT","0","9281","26.686666666666667"
"app_app8","topic_topic11","RT","0","9281","25.983333333333334"
"app_app7","topic_topic1","RT","0","8986","24.63"
"app_app7","topic_topic25","RT","0","8986","20.107363420427554"
"app_app7","topic_topic2","RT","0","8986","22.991666666666667"
"app_app7","topic_topic17","RT","0","8986","14.502510460251045"
"app_app7","topic_topic9","RT","0","8986","20.660720921590485"
"app_app7","topic_topic30","RT","0","8986","20.15222222222222"
"app_app11","topic_topic26","TS","0","8675","56.45313807531381"
"app_app11","topic_topic13","TS","0","8675","38.193656093489146"
"app_app11","topic_topic29","TS","0","8675","22.763333333333332"
"app_app11","topic_topic6","TS","0","8675","24.602108768035517"
"app_app11","topic_topic10","TS","0","8675","23.909882747068675"
"app_app10","topic_topic12","TS","0","7179","19.924444444444443"
"app_app10","topic_topic13","TS","0","7179","38.003338898163605"
"app_app10","topic_topic18","TS","0","7179","19.49944258639911"
"app_app10","topic_topic17","TS","0","7179","15.589958158995817"
"app_app15","topic_topic2","VS","0","4202","27.291666666666668"
"app_app15","topic_topic15","VS","0","4202","17.916666666666668"
"app_app15","topic_topic24","VS","0","4202","21.91176470588235"
"app_app15","topic_topic11","VS","0","4202","23.375"
"app_app15","topic_topic30","VS","0","4202","19.782222222222224"
"app_app14","topic_topic24","VS","0","8973","24.838512763596004"
"app_app14","topic_topic5","VS","0","8973","23.66644385026738"
"app_app14","topic_topic28","VS","0","8973","20.79597989949749"
"app_app14","topic_topic8","VS","0","8973","18.566527196652718"
"app_app14","topic_topic20","VS","0","8973","18.536666666666665"
"app_app13","topic_topic14","VS","0","7776","24.983288770053477"
"app_app13","topic_topic2","VS","0","7776","25.526666666666667"
"app_app13","topic_topic23","VS","0","7776","23.9311957247829"
"app_app13","topic_topic19","VS","0","7776","21.12026800670017"
"app_app13","topic_topic4","VS","0","7776","17.801335559265443"
"app_app12","topic_topic13","TS","0","6594","38.90901502504174"
"app_app12","topic_topic18","TS","0","6594","20.575994054254924"
"app_app12","topic_topic7","TS","0","6594","22.069833729216153"
"app_app12","topic_topic11","TS","0","6594","23.04"
"app_app16","topic_topic14","VS","0","8996","23.50802139037433"
"app_app16","topic_topic25","VS","0","8996","24.128266033254157"
"app_app16","topic_topic16","VS","0","8996","24.79334916864608"
"app_app16","topic_topic17","VS","0","8996","18.556485355648537"
"app_app16","topic_topic30","VS","0","8996","20.245555555555555"
"app_app2","topic_topic12","AN","0","8673","21.665555555555557"
"app_app2","topic_topic19","AN","0","8673","23.945728643216082"
"app_app2","topic_topic3","AN","0","8673","22.44333333333333"
"app_app2","topic_topic9","AN","0","8673","24.872538089929396"
"app_app2","topic_topic22","AN","0","8673","49.43776106934002"
"app_app1","topic_topic1","AN","0","5686","24.583333333333332"
"app_app1","topic_topic14","AN","0","5686","26.987299465240643"
"app_app1","topic_topic2","AN","0","5686","29.825"
"app_app1","topic_topic26","AN","0","5686","60.097489539748956"
"app_app1","topic_topic21","AN","0","5686","31.912222222222223"
