,topic,mean,min,max,std
0,topic_topic1,2261.56875,19,16811,4540.4398060529875
1,topic_topic10,9656.862018425461,16,22463,9897.175569431998
2,topic_topic11,73.14236111111111,15,190,26.821881993971942
3,topic_topic12,82.90138888888889,18,202,31.254265078715587
4,topic_topic13,6492.402226861517,58,22449,9248.875998933963
5,topic_topic14,2253.3775041736226,21,16838,4537.325252422753
6,topic_topic15,62.920833333333334,22,116,22.056554906997857
7,topic_topic16,65.7690023752969,14,180,22.51786692780678
8,topic_topic17,68.82949790794979,15,197,27.068028377332773
9,topic_topic18,70.66558290757084,14,182,25.650244860700937
10,topic_topic19,324.92381749686064,14,6869,1070.3402841187783
11,topic_topic2,1671.4158333333332,17,16841,4123.043144822981
12,topic_topic20,79.95,18,152,24.93652192113032
13,topic_topic21,2746.2717592592594,26,16830,5049.658757770599
14,topic_topic22,371.37752261656226,69,6869,1068.7278115523636
15,topic_topic23,64.63397328881469,25,205,21.094340181994113
16,topic_topic24,80.34708737864078,11,176,27.92037862701149
17,topic_topic25,68.58521377672209,16,169,24.44929864497323
18,topic_topic26,13678.429654811716,54,22480,7381.228912003309
19,topic_topic27,69.21760334417093,18,151,21.631015638503825
20,topic_topic28,74.22289660946002,20,191,26.449859410290713
21,topic_topic29,9671.822916666666,20,22429,9904.095791999074
22,topic_topic3,83.82430555555555,21,201,29.650014904078258
23,topic_topic30,74.65092592592593,23,164,22.231911665821325
24,topic_topic4,74.78549060542798,12,148,25.452118940436684
25,topic_topic5,72.9127712854758,22,174,24.460139865792645
26,topic_topic6,9653.884188626907,11,22463,9893.702440003011
27,topic_topic7,321.82403008709423,16,6835,1071.5144654949568
28,topic_topic8,78.0460251046025,13,168,24.506899996883458
29,topic_topic9,81.59575785725345,15,218,32.060844147237646
