category,lower_whisker,Q1,median,Q3,upper_whisker
AN,13.424400417101149,17.02318034306908,18.773789649415694,20.778085991678225,26.410444464591944
RT,11.697916666666666,16.780250347705145,19.229166666666668,21.94734642707898,29.69799054613973
TS,10.739583333333334,15.510820561275871,17.850110093412766,23.622830856795275,35.79084630007438
VS,11.527415143603132,14.696537398206443,17.35102490885172,18.8,24.07846410684474
