"1690724540911","topic_occupancymanagement/app_app21","5"
"1690724540911","topic_occupancymanagement/app_app12","5"
"1690724540911","topic_smartthings/app_app1","6"
"1690724540911","topic_smartthings/app_app22","7"
"1690724540916","topic_printing/app_app2","5"
"1690724540916","topic_printing/app_app11","9"
"1690724540928","topic_firedetection/app_app22","18"
"1690724540928","topic_firedetection/app_app23","27"
"1690724540928","topic_firedetection/app_app1","31"
"1690724540945","topic_energymanagement/app_app2","36"
"1690724540945","topic_energymanagement/app_app1","45"
"1690724540995","topic_videosurveillance/app_app38","118"
"1690724540995","topic_videosurveillance/app_app36","185"
"1690724540995","topic_videosurveillance/app_app2","199"
"1690724540992","topic_bms/app_app21","271"
"1690724540992","topic_bms/app_app2","298"
"1690724541040","topic_intrusiondetection/app_app21","470"
"1690724541912","topic_amazonecho/app_app21","3"
"1690724541912","topic_occupancymanagement/app_app21","5"
"1690724541912","topic_occupancymanagement/app_app12","5"
"1690724541912","topic_smartthings/app_app1","6"
"1690724541912","topic_smartthings/app_app22","6"
"1690724541917","topic_printing/app_app2","6"
"1690724541917","topic_printing/app_app11","8"
"1690724541930","topic_firedetection/app_app22","16"
"1690724541930","topic_firedetection/app_app23","25"
"1690724541930","topic_firedetection/app_app1","28"
"1690724541947","topic_energymanagement/app_app2","35"
"1690724541947","topic_energymanagement/app_app1","41"
"1690724542000","topic_bms/app_app2","136"
"1690724542000","topic_bms/app_app21","176"
"1690724542058","topic_intrusiondetection/app_app21","392"
"1690724542058","topic_intrusiondetection/app_app36","568"
"1690724542058","topic_intrusiondetection/app_app2","643"
"1690724542912","topic_amazonecho/app_app21","3"
"1690724542912","topic_smartthings/app_app1","4"
"1690724542912","topic_smartthings/app_app22","5"
"1690724542912","topic_occupancymanagement/app_app12","6"
"1690724542912","topic_occupancymanagement/app_app21","6"
"1690724542918","topic_printing/app_app2","5"
"1690724542918","topic_printing/app_app11","8"
"1690724542931","topic_firedetection/app_app22","17"
"1690724542931","topic_firedetection/app_app23","25"
"1690724542931","topic_firedetection/app_app1","28"
"1690724542949","topic_energymanagement/app_app2","35"
"1690724542949","topic_energymanagement/app_app1","42"
"1690724543003","topic_videosurveillance/app_app38","127"
"1690724543003","topic_videosurveillance/app_app36","180"
"1690724543003","topic_videosurveillance/app_app2","200"
"1690724543005","topic_bms/app_app21","275"
"1690724543005","topic_bms/app_app2","300"
"1690724543069","topic_intrusiondetection/app_app21","476"
"1690724543069","topic_intrusiondetection/app_app36","651"
"1690724543069","topic_intrusiondetection/app_app2","716"
"1690724543913","topic_amazonecho/app_app21","3"
"1690724543913","topic_smartthings/app_app1","4"
"1690724543913","topic_occupancymanagement/app_app12","5"
"1690724543913","topic_occupancymanagement/app_app21","5"
"1690724543913","topic_smartthings/app_app22","6"
"1690724543918","topic_printing/app_app2","5"
"1690724543918","topic_printing/app_app11","9"
"1690724543932","topic_firedetection/app_app22","17"
"1690724543932","topic_firedetection/app_app23","25"
"1690724543951","topic_energymanagement/app_app2","43"
"1690724543951","topic_energymanagement/app_app1","59"
"1690724544012","topic_videosurveillance/app_app38","128"
"1690724544012","topic_videosurveillance/app_app36","187"
"1690724544012","topic_videosurveillance/app_app2","201"
"1690724544014","topic_bms/app_app21","267"
"1690724544014","topic_bms/app_app2","294"
"1690724544081","topic_intrusiondetection/app_app21","480"
"1690724544081","topic_intrusiondetection/app_app36","652"
"1690724544081","topic_intrusiondetection/app_app2","716"
"1690724544914","topic_amazonecho/app_app21","3"
"1690724544914","topic_smartthings/app_app1","4"
"1690724544914","topic_occupancymanagement/app_app12","5"
"1690724544914","topic_smartthings/app_app22","5"
"1690724544914","topic_occupancymanagement/app_app21","6"
"1690724544919","topic_printing/app_app2","5"
