,topic,app,category,mean,min,max,std
0,topic_topic1,app_app1,AN,28.179166666666667,4,72,14.85005893418188
1,topic_topic1,app_app3,AN,27.675,5,66,13.633064961740848
2,topic_topic1,app_app5,RT,24.5,2,64,14.948167069737009
3,topic_topic1,app_app7,RT,24.079166666666666,2,63,13.503679311624127
4,topic_topic10,app_app11,TS,25.411617216882576,1,108,16.069424490173546
5,topic_topic10,app_app9,TS,20.99916422900125,1,82,15.153947992830869
6,topic_topic11,app_app12,TS,26.61458333333333,4,82,11.569856623549484
7,topic_topic11,app_app15,ST,21.472916666666663,2,70,12.874182213861712
8,topic_topic11,app_app8,RT,27.027083333333334,2,85,16.168518078708292
9,topic_topic12,app_app10,TS,22.929264909847436,2,79,14.907650557795357
10,topic_topic12,app_app2,AN,28.244105409153956,3,88,17.431972439233807
11,topic_topic12,app_app9,TS,21.475728155339805,1,85,17.12761842280208
12,topic_topic13,app_app10,TS,27.99687174139729,5,96,17.842356263996695
13,topic_topic13,app_app11,TS,36.24400417101147,15,112,19.73596335381464
14,topic_topic13,app_app12,TS,39.05526590198123,16,98,16.653915226980974
15,topic_topic14,app_app1,AN,30.90066777963272,7,86,13.273398484303913
16,topic_topic14,app_app13,ST,25.852253756260435,1,86,17.896594489777755
17,topic_topic14,app_app16,ST,24.936560934891485,2,83,14.413779568970345
18,topic_topic14,app_app5,RT,31.68030050083473,5,103,19.525630716583372
19,topic_topic15,app_app15,ST,20.666666666666668,2,55,12.244601463217428
20,topic_topic15,app_app6,RT,27.7625,3,72,15.584492681312764
21,topic_topic16,app_app16,ST,21.193950177935942,1,81,15.168364280654382
22,topic_topic16,app_app3,AN,22.097864768683277,1,78,12.602502043349228
23,topic_topic16,app_app4,AN,25.47212336892052,4,91,12.645079497125703
24,topic_topic17,app_app10,TS,21.246475195822452,3,67,11.105263978829306
25,topic_topic17,app_app16,ST,17.549869451697127,1,92,14.356630736934765
26,topic_topic17,app_app7,RT,18.846475195822453,1,72,11.91200898463114
27,topic_topic18,app_app10,TS,20.22484932777005,1,79,14.60001569489891
28,topic_topic18,app_app12,TS,23.07834955957348,2,94,15.360627193435512
29,topic_topic19,app_app13,ST,25.52444630171333,4,79,12.869924558774915
30,topic_topic19,app_app2,AN,22.81404095277894,1,100,19.631303156917284
31,topic_topic19,app_app5,RT,24.93313832010029,2,96,16.912489968791967
32,topic_topic2,app_app1,AN,24.4,1,72,16.68029227301346
33,topic_topic2,app_app13,ST,28.247916666666665,4,77,14.416667018636284
34,topic_topic2,app_app15,ST,36.96458333333333,6,94,17.634801301546457
35,topic_topic2,app_app7,RT,30.50625,8,84,12.471427155811552
36,topic_topic2,app_app9,TS,26.897916666666667,2,83,17.91629796031101
37,topic_topic20,app_app14,ST,24.591666666666665,3,67,13.267758027200385
38,topic_topic20,app_app6,RT,22.2125,1,60,12.66203142268072
39,topic_topic21,app_app1,AN,27.852981969486823,3,117,21.38179443958384
40,topic_topic21,app_app4,AN,27.748959778085997,6,88,16.396034484993685
41,topic_topic21,app_app8,RT,31.11789181692094,10,90,15.608534844559747
42,topic_topic22,app_app2,AN,56.74244004171012,26,105,15.739044394939263
43,topic_topic22,app_app5,RT,41.19082377476538,8,108,18.69874565276125
44,topic_topic22,app_app9,TS,49.40667361835245,21,101,16.255251192290775
45,topic_topic23,app_app13,ST,23.78964941569282,1,89,16.77172381848602
46,topic_topic23,app_app3,AN,22.663606010016693,2,83,12.388497953972712
47,topic_topic24,app_app14,ST,23.0990990990991,2,84,16.39011298393318
48,topic_topic24,app_app15,ST,25.125433125433126,6,81,14.2030133107108
49,topic_topic25,app_app16,ST,29.00296559905101,2,87,17.552751949261054
50,topic_topic25,app_app7,RT,19.03973902728351,1,72,13.021423513487676
51,topic_topic26,app_app1,AN,52.46005221932115,23,123,18.601323730083777
52,topic_topic26,app_app11,TS,53.74464751958224,24,118,18.227004272873888
53,topic_topic26,app_app6,RT,45.4845953002611,6,122,22.37843387730981
54,topic_topic27,app_app3,AN,20.99860917941585,1,79,15.634493343541635
55,topic_topic27,app_app4,AN,23.223922114047287,1,91,15.87907757544476
56,topic_topic28,app_app14,ST,19.239030505641452,1,92,12.950208133404024
57,topic_topic28,app_app8,RT,22.80777267028834,2,89,13.312860848632612
58,topic_topic29,app_app11,TS,27.841666666666665,3,63,15.385694509412293
59,topic_topic29,app_app9,TS,23.816666666666663,1,66,14.593506513413535
60,topic_topic3,app_app2,AN,24.25936199722608,1,81,19.09502914178768
61,topic_topic3,app_app3,AN,24.82246879334258,1,89,16.700186126937975
62,topic_topic30,app_app15,ST,22.183079056865463,2,75,14.018233838493556
63,topic_topic30,app_app16,ST,25.53675450762829,2,87,14.789695925314378
64,topic_topic30,app_app7,RT,20.791955617198337,1,81,15.404670708667282
65,topic_topic4,app_app13,ST,14.706986444212722,1,95,12.849646965200872
66,topic_topic4,app_app3,AN,18.074035453597496,1,96,12.62150728812574
67,topic_topic5,app_app14,ST,28.07846410684474,5,88,13.33285163208676
68,topic_topic5,app_app4,AN,23.918196994991654,2,77,12.578375288572635
69,topic_topic5,app_app6,RT,21.16193656093489,1,85,14.807045905370794
70,topic_topic6,app_app11,TS,24.73180873180873,1,100,18.46218930963663
71,topic_topic6,app_app4,AN,23.887733887733887,1,83,16.20952898824253
72,topic_topic7,app_app12,TS,25.823250296559905,3,93,12.930797974379946
73,topic_topic7,app_app5,RT,22.79952550415184,1,110,19.31740562322253
74,topic_topic7,app_app8,RT,23.424080664294188,2,93,14.688128441256303
75,topic_topic8,app_app14,ST,17.8266318537859,1,94,14.800668631558487
76,topic_topic8,app_app6,RT,19.368668407310704,2,85,12.52916597601634
77,topic_topic9,app_app2,AN,24.381548446917016,1,124,20.950810240532
78,topic_topic9,app_app7,RT,22.62726008344924,2,82,15.051740034445004
79,topic_topic9,app_app8,RT,25.23504867872045,3,95,16.116974859663834
