category,lower_whisker,Q1,median,Q3,upper_whisker
AN,18.074035453597496,23.223922114047287,24.4,27.852981969486823,34.79657175264613
RT,18.846475195822453,22.2125,24.079166666666666,27.7625,36.0875
TS,20.22484932777005,22.96653607227895,25.61743375672124,27.95807047271463,35.445372073368155
VS,14.706986444212722,21.062129300118624,24.190658041179745,25.61562931978633,32.445879349287885
